Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_Customer,Days_Customer,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Year_Joined,Month_Joined,Day_Joined,Age_Group,Children,Partner,Education_Level
Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,1,226,310,15,0,2013,November,Friday,Middel Aged,2,No,Postgraduate
Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,2,627,46,5,0,2012,October,Wednesday,Adult,0,Yes,Graduate
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,2,582,1315,26,3,2012,November,Saturday,Senior Citizen,0,No,Postgraduate
Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,2,552,96,9,0,2012,December,Monday,Adult,2,Yes,Graduate
Graduation,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,2,667,317,13,0,2012,August,Friday,Senior Citizen,0,Yes,Graduate
Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1,458,1782,26,1,2013,March,Thursday,Senior Citizen,1,Yes,Postgraduate
2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,2,603,133,8,0,2012,November,Saturday,Adult,1,No,Undergraduate
Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,2,690,316,12,0,2012,August,Wednesday,Adult,0,Yes,Graduate
Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1,539,1730,43,0,2013,January,Sunday,Adult,1,Yes,Graduate
PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,2,553,972,17,1,2012,December,Sunday,Senior Citizen,1,Yes,Postgraduate
PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,0,169,544,20,0,2014,January,Saturday,Middel Aged,1,Yes,Postgraduate
Graduation,Together,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,1,468,444,20,0,2013,March,Monday,Middel Aged,1,Yes,Graduate
Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,1,543,75,8,0,2013,January,Wednesday,Middel Aged,0,No,Graduate
Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,1,398,257,14,0,2013,May,Monday,Adult,2,Yes,Graduate
Graduation,Single,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,1,494,637,27,0,2013,February,Wednesday,Adult,1,No,Graduate
Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,1,394,131,9,0,2013,May,Friday,Adult,1,Yes,Graduate
PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1,219,1672,26,1,2013,November,Friday,Middel Aged,0,Yes,Postgraduate
Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,0,38,30,8,0,2014,May,Thursday,Adult,0,No,Postgraduate
Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,1,414,318,11,0,2013,May,Saturday,Middel Aged,0,Yes,Postgraduate
Graduation,Together,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,2,627,120,9,1,2012,October,Wednesday,Adult,1,Yes,Graduate
PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,2,608,302,17,1,2012,October,Monday,Middel Aged,2,No,Postgraduate
Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1,494,1196,18,0,2013,February,Wednesday,Senior Citizen,0,Yes,Postgraduate
Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,1,304,65,6,0,2013,August,Thursday,Middel Aged,2,No,Postgraduate
PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,1,180,913,28,0,2013,December,Tuesday,Adult,1,Yes,Postgraduate
2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,1,300,81,9,0,2013,September,Monday,Adult,1,Yes,Undergraduate
Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,0,138,67,7,0,2014,February,Tuesday,Adult,1,No,Graduate
PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,1,513,902,24,2,2013,February,Friday,Senior Citizen,0,No,Postgraduate
Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1,426,1395,21,0,2013,April,Monday,Adult,1,Yes,Graduate
Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,1,474,53,7,0,2013,March,Tuesday,Adult,1,Yes,Postgraduate
Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,2,552,22,4,0,2012,December,Monday,Middel Aged,1,Yes,Graduate
PhD,Single,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,1,236,186,9,0,2013,November,Tuesday,Middel Aged,0,No,Postgraduate
Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,1,270,31,8,0,2013,October,Wednesday,Adult,1,Yes,Postgraduate
Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,0,1,984,16,0,2014,June,Saturday,Adult,0,No,Graduate
2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,2,597,122,10,1,2012,November,Friday,Young adult,0,Yes,Undergraduate
Graduation,Together,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,1,401,55,5,0,2013,May,Friday,Middel Aged,1,Yes,Graduate
Graduation,Single,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,0,179,124,10,0,2014,January,Wednesday,Middel Aged,3,No,Graduate
PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,2,598,1319,28,0,2012,November,Thursday,Middel Aged,2,Yes,Postgraduate
Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,0,48,507,17,0,2014,May,Monday,Middel Aged,1,No,Graduate
Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,2,687,1693,29,0,2012,August,Saturday,Middel Aged,0,Yes,Postgraduate
Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,1,543,72,7,0,2013,January,Wednesday,Adult,1,No,Graduate
Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,0,22,1617,21,3,2014,June,Saturday,Adult,0,No,Graduate
Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,1,382,606,23,0,2013,June,Wednesday,Adult,2,Yes,Graduate
Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,2,587,1957,27,2,2012,November,Monday,Middel Aged,0,Yes,Postgraduate
Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,1,453,1093,21,1,2013,April,Tuesday,Middel Aged,0,No,Graduate
Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,0,62,29,6,0,2014,April,Monday,Adult,1,No,Graduate
Graduation,Single,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,1,377,46,7,0,2013,June,Monday,Adult,1,No,Graduate
PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,0,118,518,19,0,2014,March,Monday,Middel Aged,1,Yes,Postgraduate
Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,1,360,1438,21,3,2013,July,Thursday,Adult,0,No,Postgraduate
Graduation,Together,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,2,660,612,22,0,2012,September,Friday,Adult,2,Yes,Graduate
Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,1,496,884,24,0,2013,February,Monday,Middel Aged,1,No,Graduate
PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,1,383,606,19,0,2013,June,Tuesday,Middel Aged,1,No,Postgraduate
Graduation,Together,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,1,205,1076,16,0,2013,December,Friday,Senior Citizen,0,Yes,Graduate
Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,1,404,34,5,1,2013,May,Tuesday,Adult,1,Yes,Graduate
Graduation,Together,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,0,49,11,4,0,2014,May,Sunday,Middel Aged,2,Yes,Graduate
2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,0,102,1274,32,3,2014,March,Wednesday,Adult,1,No,Undergraduate
Graduation,Together,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,1,275,653,18,0,2013,September,Friday,Middel Aged,1,Yes,Graduate
Graduation,Together,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,1,447,1562,19,0,2013,April,Monday,Adult,3,Yes,Graduate
Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,2,656,1253,21,0,2012,September,Tuesday,Middel Aged,0,Yes,Postgraduate
2n Cycle,Married,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,2,653,109,9,0,2012,September,Friday,Adult,1,Yes,Undergraduate
Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,1,469,863,30,0,2013,March,Sunday,Middel Aged,1,Yes,Graduate
PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,1,450,661,24,1,2013,April,Friday,Adult,2,Yes,Postgraduate
Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,0,60,65,8,0,2014,April,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,2,557,13,4,0,2012,December,Wednesday,Adult,1,No,Graduate
Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,2,671,1890,19,1,2012,August,Monday,Adult,0,Yes,Postgraduate
Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,2,625,2209,22,2,2012,October,Friday,Adult,0,No,Graduate
2n Cycle,Together,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,1,298,18,4,0,2013,September,Wednesday,Adult,0,Yes,Undergraduate
Graduation,Together,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,1,543,692,21,2,2013,January,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,2,669,165,12,0,2012,August,Wednesday,Adult,1,No,Graduate
Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,1,371,16,4,0,2013,June,Sunday,Middel Aged,1,Yes,Graduate
2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,1,361,79,9,0,2013,July,Wednesday,Adult,1,Yes,Undergraduate
Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,1,414,318,11,0,2013,May,Saturday,Middel Aged,0,Yes,Postgraduate
Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,0,124,778,27,0,2014,February,Tuesday,Adult,0,No,Graduate
Graduation,Married,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,1,322,56,7,0,2013,August,Sunday,Middel Aged,2,Yes,Graduate
Master,Married,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,1,348,151,13,1,2013,July,Tuesday,Adult,2,Yes,Postgraduate
Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,0,32,372,17,3,2014,May,Wednesday,Middel Aged,1,No,Graduate
Graduation,Married,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,0,48,1366,19,1,2014,May,Monday,Adult,0,Yes,Graduate
Graduation,Together,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,0,159,194,10,0,2014,January,Tuesday,Middel Aged,1,Yes,Graduate
PhD,Married,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,2,587,603,29,0,2012,November,Monday,Middel Aged,3,Yes,Postgraduate
Graduation,Single,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,0,33,18,4,0,2014,May,Tuesday,Middel Aged,2,No,Graduate
Master,Together,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,1,218,985,15,0,2013,November,Saturday,Adult,0,Yes,Postgraduate
Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,0,98,32,5,0,2014,March,Sunday,Adult,1,No,Postgraduate
PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,0,36,43,10,0,2014,May,Saturday,Adult,1,Yes,Postgraduate
Graduation,Married,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,0,38,45,6,0,2014,May,Thursday,Adult,1,Yes,Graduate
Graduation,Widow,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,2,584,606,22,1,2012,November,Thursday,Middel Aged,1,No,Graduate
Graduation,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,1,444,63,7,0,2013,April,Thursday,Adult,2,No,Graduate
2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,1,210,978,25,1,2013,December,Sunday,Middel Aged,0,Yes,Undergraduate
PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,1,374,410,16,0,2013,June,Thursday,Adult,0,Yes,Postgraduate
2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,1,341,72,7,0,2013,July,Tuesday,Middel Aged,1,No,Undergraduate
PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,0,91,55,7,0,2014,March,Sunday,Middel Aged,1,No,Postgraduate
Graduation,Together,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,1,435,1169,27,0,2013,April,Saturday,Adult,1,Yes,Graduate
PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,1,408,1120,16,0,2013,May,Friday,Senior Citizen,0,Yes,Postgraduate
Graduation,Married,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,0,52,1097,20,1,2014,May,Thursday,Middel Aged,0,Yes,Graduate
Basic,Together,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,1,201,29,5,0,2013,December,Tuesday,Adult,1,Yes,Undergraduate
Graduation,Married,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,1,278,187,13,0,2013,September,Tuesday,Middel Aged,2,Yes,Graduate
Graduation,Married,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,1,512,910,26,0,2013,February,Saturday,Middel Aged,2,Yes,Graduate
Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,2,557,145,9,0,2012,December,Wednesday,Adult,1,No,Graduate
Master,Married,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,2,569,850,14,0,2012,December,Friday,Middel Aged,0,Yes,Postgraduate
Graduation,Together,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,1,239,969,24,0,2013,November,Saturday,Adult,1,Yes,Graduate
PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,2,596,1820,17,2,2012,November,Saturday,Young adult,0,No,Postgraduate
Master,Together,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,0,4,608,20,1,2014,June,Wednesday,Middel Aged,1,Yes,Postgraduate
Graduation,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,1,543,730,25,3,2013,January,Wednesday,Young adult,0,No,Graduate
PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,2,564,551,21,0,2012,December,Wednesday,Adult,1,Yes,Postgraduate
Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,1,292,114,8,0,2013,September,Tuesday,Middel Aged,2,No,Graduate
Graduation,Married,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,0,156,1724,15,2,2014,January,Friday,Adult,0,Yes,Graduate
2n Cycle,Married,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,1,495,577,20,0,2013,February,Tuesday,Adult,1,Yes,Undergraduate
2n Cycle,Together,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,1,353,81,7,0,2013,July,Thursday,Middel Aged,2,Yes,Undergraduate
Graduation,Together,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,1,227,33,7,0,2013,November,Thursday,Middel Aged,1,Yes,Graduate
Master,Together,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,1,374,660,22,0,2013,June,Thursday,Middel Aged,1,Yes,Postgraduate
Master,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,0,125,80,9,1,2014,February,Monday,Middel Aged,1,No,Postgraduate
Master,Married,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,1,298,30,6,0,2013,September,Wednesday,Adult,2,Yes,Postgraduate
Graduation,Divorced,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,1,433,43,5,0,2013,April,Monday,Adult,1,No,Graduate
Graduation,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,1,474,1135,27,4,2013,March,Tuesday,Adult,0,No,Graduate
2n Cycle,Together,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,1,496,559,16,0,2013,February,Monday,Middel Aged,0,Yes,Undergraduate
Graduation,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,1,434,1923,16,1,2013,April,Sunday,Adult,0,No,Graduate
Master,Married,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,0,21,90,8,0,2014,June,Sunday,Middel Aged,2,Yes,Postgraduate
PhD,Married,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,1,353,404,17,0,2013,July,Thursday,Middel Aged,1,Yes,Postgraduate
PhD,Together,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,0,50,661,23,0,2014,May,Saturday,Middel Aged,2,Yes,Postgraduate
Graduation,Married,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,1,272,463,19,0,2013,September,Monday,Middel Aged,1,Yes,Graduate
Master,Alone,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,1,476,632,23,0,2013,March,Sunday,Middel Aged,2,No,Postgraduate
Graduation,Married,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,0,139,725,19,0,2014,February,Monday,Middel Aged,0,Yes,Graduate
Graduation,Married,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,1,322,725,19,0,2013,August,Sunday,Middel Aged,1,Yes,Graduate
PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,1,319,279,16,0,2013,August,Wednesday,Middel Aged,2,Yes,Postgraduate
PhD,Together,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,1,469,1482,23,1,2013,March,Sunday,Middel Aged,0,Yes,Postgraduate
Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,2,690,29,6,0,2012,August,Wednesday,Adult,1,No,Undergraduate
PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,1,357,106,9,0,2013,July,Sunday,Middel Aged,3,Yes,Postgraduate
PhD,Alone,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,0,41,49,6,2,2014,May,Monday,Adult,2,No,Postgraduate
PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,1,336,38,7,0,2013,July,Sunday,Middel Aged,2,No,Postgraduate
Master,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,2,618,2077,22,0,2012,October,Friday,Young adult,0,No,Postgraduate
Master,Together,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,1,227,1053,17,1,2013,November,Thursday,Adult,1,Yes,Postgraduate
Graduation,Married,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,1,436,1385,23,0,2013,April,Friday,Middel Aged,0,Yes,Graduate
